epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
90,11172.7,0.36315,0.27201,0.05181,0.95238,0.87403,0.91811,0.81537,0.26447,0.25695,0.03428,9.1189e-05,9.1189e-05,9.1189e-05
91,11296.3,0.3536,0.26974,0.04979,0.95196,0.87235,0.91834,0.81513,0.26579,0.25611,0.03534,9.109e-05,9.109e-05,9.109e-05
92,11416.4,0.3606,0.2732,0.05412,0.95377,0.87469,0.91996,0.81782,0.25953,0.25686,0.03316,9.0991e-05,9.0991e-05,9.0991e-05
93,11538.2,0.35521,0.27405,0.04983,0.95208,0.87576,0.92011,0.81782,0.25617,0.25854,0.03233,9.0892e-05,9.0892e-05,9.0892e-05
94,11662.6,0.35987,0.26948,0.05228,0.95423,0.87398,0.92,0.81747,0.26089,0.25649,0.03277,9.0793e-05,9.0793e-05,9.0793e-05
95,11784.2,0.3473,0.26836,0.04714,0.95339,0.87701,0.92007,0.81786,0.25882,0.25604,0.03298,9.0694e-05,9.0694e-05,9.0694e-05
96,11905.9,0.35746,0.2723,0.05221,0.95146,0.87699,0.91944,0.8169,0.25802,0.25658,0.03171,9.0595e-05,9.0595e-05,9.0595e-05
97,12026.3,0.34854,0.26844,0.04833,0.95243,0.87566,0.91881,0.8168,0.26069,0.25607,0.03287,9.0496e-05,9.0496e-05,9.0496e-05
98,12150.5,0.36222,0.26944,0.05173,0.95304,0.87753,0.91955,0.81576,0.26058,0.25935,0.03293,9.0397e-05,9.0397e-05,9.0397e-05
99,12271.7,0.35628,0.27111,0.05147,0.95323,0.87375,0.91821,0.81454,0.26465,0.25728,0.03513,9.0298e-05,9.0298e-05,9.0298e-05
100,12395.5,0.37105,0.27051,0.05756,0.95158,0.87772,0.91946,0.81879,0.25858,0.25618,0.03353,9.0199e-05,9.0199e-05,9.0199e-05
101,12519.2,0.35565,0.26931,0.05265,0.95312,0.87813,0.91997,0.81974,0.25555,0.25479,0.03184,9.01e-05,9.01e-05,9.01e-05
102,12641.4,0.34838,0.26953,0.04862,0.95407,0.87747,0.92009,0.82102,0.25492,0.25354,0.03176,9.0001e-05,9.0001e-05,9.0001e-05
103,12764.6,0.35313,0.2683,0.05132,0.95197,0.88178,0.92372,0.82183,0.25327,0.25498,0.03161,8.9902e-05,8.9902e-05,8.9902e-05
104,12887.2,0.35111,0.26921,0.05103,0.95221,0.87833,0.91958,0.821,0.25459,0.25311,0.03166,8.9803e-05,8.9803e-05,8.9803e-05
105,13008.3,0.34874,0.26803,0.04791,0.95468,0.87988,0.92452,0.82367,0.25045,0.25378,0.03186,8.9704e-05,8.9704e-05,8.9704e-05
106,13131.2,0.34676,0.26929,0.05159,0.95403,0.8788,0.92339,0.82329,0.25136,0.25302,0.03277,8.9605e-05,8.9605e-05,8.9605e-05
107,13253.3,0.34757,0.26759,0.05032,0.95256,0.88202,0.92506,0.82512,0.25038,0.2519,0.03235,8.9506e-05,8.9506e-05,8.9506e-05
108,13377.1,0.34078,0.26513,0.04735,0.95142,0.88014,0.92257,0.82421,0.25022,0.25223,0.03213,8.9407e-05,8.9407e-05,8.9407e-05
109,13497.8,0.33832,0.26907,0.04713,0.95552,0.87959,0.92396,0.82359,0.251,0.25308,0.03227,8.9308e-05,8.9308e-05,8.9308e-05
110,13621.2,0.34809,0.2691,0.04941,0.95268,0.87851,0.92229,0.82385,0.25076,0.25496,0.03129,8.9209e-05,8.9209e-05,8.9209e-05
111,13743.3,0.34186,0.26512,0.04801,0.9534,0.8782,0.92318,0.82491,0.24973,0.25486,0.03236,8.911e-05,8.911e-05,8.911e-05
112,13864.4,0.34148,0.26737,0.04818,0.95172,0.87639,0.92018,0.82416,0.25235,0.2515,0.03303,8.9011e-05,8.9011e-05,8.9011e-05
113,13986.7,0.34285,0.26413,0.04551,0.95335,0.87874,0.92062,0.82471,0.252,0.2532,0.03122,8.8912e-05,8.8912e-05,8.8912e-05
114,14107.9,0.34138,0.26267,0.04968,0.95378,0.8775,0.92079,0.82549,0.25442,0.24917,0.03287,8.8813e-05,8.8813e-05,8.8813e-05
115,14230.8,0.33679,0.26406,0.04668,0.95342,0.88018,0.92309,0.82637,0.25152,0.25036,0.03316,8.8714e-05,8.8714e-05,8.8714e-05
116,14352.1,0.33833,0.26575,0.0475,0.95231,0.88019,0.92073,0.82425,0.25382,0.25038,0.03306,8.8615e-05,8.8615e-05,8.8615e-05
117,14474.6,0.32994,0.26534,0.04612,0.95342,0.88149,0.924,0.82569,0.24781,0.25111,0.03051,8.8516e-05,8.8516e-05,8.8516e-05
118,14598.1,0.34026,0.26452,0.04907,0.95403,0.87975,0.92315,0.82481,0.25019,0.25142,0.03047,8.8417e-05,8.8417e-05,8.8417e-05
119,14721.2,0.33745,0.2654,0.04674,0.95454,0.88035,0.9239,0.82555,0.24804,0.25329,0.0296,8.8318e-05,8.8318e-05,8.8318e-05
120,14844.9,0.34015,0.26543,0.04914,0.95511,0.87956,0.92331,0.82639,0.24885,0.25044,0.03123,8.8219e-05,8.8219e-05,8.8219e-05
121,14966.6,0.33545,0.26536,0.04707,0.95579,0.88241,0.92495,0.82702,0.24515,0.25252,0.02936,8.812e-05,8.812e-05,8.812e-05
122,15088.6,0.33615,0.26634,0.04811,0.95205,0.88029,0.92358,0.82513,0.2476,0.25403,0.02878,8.8021e-05,8.8021e-05,8.8021e-05
123,15209.3,0.33979,0.26717,0.04895,0.95649,0.87914,0.92419,0.82451,0.24698,0.25393,0.02917,8.7922e-05,8.7922e-05,8.7922e-05
124,15331.3,0.33662,0.26518,0.04595,0.95466,0.87861,0.92341,0.82569,0.24677,0.25326,0.02876,8.7823e-05,8.7823e-05,8.7823e-05
125,15451.5,0.32786,0.26494,0.04614,0.95467,0.8781,0.92311,0.82614,0.24743,0.25152,0.02953,8.7724e-05,8.7724e-05,8.7724e-05
126,15575.4,0.32619,0.26362,0.04448,0.95541,0.88093,0.92507,0.82874,0.2421,0.25152,0.02909,8.7625e-05,8.7625e-05,8.7625e-05
127,15698.8,0.32796,0.26354,0.04592,0.95366,0.8822,0.92548,0.83018,0.24314,0.25088,0.02926,8.7526e-05,8.7526e-05,8.7526e-05
128,15822.7,0.32359,0.26483,0.04364,0.95652,0.88397,0.92608,0.83074,0.2419,0.25054,0.02887,8.7427e-05,8.7427e-05,8.7427e-05
129,15943.7,0.33435,0.2619,0.04597,0.95734,0.8817,0.92463,0.82865,0.24482,0.24977,0.02892,8.7328e-05,8.7328e-05,8.7328e-05
130,16064.4,0.33154,0.26587,0.04585,0.9577,0.88088,0.92499,0.82773,0.24668,0.25048,0.03036,8.7229e-05,8.7229e-05,8.7229e-05
131,16186.9,0.32476,0.26588,0.04314,0.95239,0.88376,0.92544,0.82947,0.24203,0.24881,0.02809,8.713e-05,8.713e-05,8.713e-05
132,16308,0.32877,0.26492,0.04643,0.95539,0.88772,0.92696,0.83006,0.23989,0.24952,0.0293,8.7031e-05,8.7031e-05,8.7031e-05
133,16432.7,0.33594,0.26279,0.04696,0.95523,0.88499,0.92636,0.82939,0.24129,0.25189,0.02951,8.6932e-05,8.6932e-05,8.6932e-05
134,16552.9,0.3393,0.26359,0.04876,0.95587,0.88534,0.92582,0.83115,0.24045,0.24918,0.02932,8.6833e-05,8.6833e-05,8.6833e-05
135,16677.1,0.33605,0.26079,0.05005,0.95591,0.88007,0.92443,0.82736,0.24433,0.2509,0.02995,8.6734e-05,8.6734e-05,8.6734e-05
136,16796.2,0.33957,0.26586,0.04848,0.95634,0.88136,0.92505,0.82824,0.24469,0.25197,0.02994,8.6635e-05,8.6635e-05,8.6635e-05
137,16920.4,0.33326,0.26369,0.04669,0.95644,0.88285,0.92641,0.82967,0.24305,0.25366,0.03084,8.6536e-05,8.6536e-05,8.6536e-05
138,17042.6,0.33556,0.26352,0.04888,0.95652,0.88486,0.9267,0.83112,0.24132,0.25225,0.03079,8.6437e-05,8.6437e-05,8.6437e-05
139,17164.3,0.33207,0.26403,0.04656,0.95471,0.88582,0.92654,0.8317,0.23978,0.25113,0.02998,8.6338e-05,8.6338e-05,8.6338e-05
140,17286.2,0.33873,0.26344,0.0491,0.95616,0.88314,0.92578,0.83098,0.24133,0.25087,0.03153,8.6239e-05,8.6239e-05,8.6239e-05
141,17409.4,0.32872,0.2652,0.04469,0.95858,0.87774,0.92506,0.8289,0.24576,0.25128,0.03159,8.614e-05,8.614e-05,8.614e-05
142,17532.4,0.32099,0.2631,0.04383,0.95874,0.88315,0.92763,0.83222,0.24061,0.24992,0.03053,8.6041e-05,8.6041e-05,8.6041e-05
143,17655.1,0.32561,0.26254,0.04466,0.95783,0.88227,0.92626,0.83236,0.2391,0.24889,0.03012,8.5942e-05,8.5942e-05,8.5942e-05
144,17779.3,0.32523,0.26241,0.04512,0.95838,0.88212,0.9258,0.83121,0.24103,0.24851,0.0304,8.5843e-05,8.5843e-05,8.5843e-05
145,17902,0.3235,0.26291,0.0456,0.95914,0.88512,0.9271,0.8329,0.23708,0.24829,0.02877,8.5744e-05,8.5744e-05,8.5744e-05
146,18024.3,0.32379,0.26116,0.04306,0.95633,0.8822,0.92605,0.83173,0.23887,0.2502,0.0287,8.5645e-05,8.5645e-05,8.5645e-05
147,18145.7,0.32398,0.26099,0.04425,0.95859,0.88197,0.92637,0.83317,0.23821,0.2494,0.02852,8.5546e-05,8.5546e-05,8.5546e-05
148,18269.1,0.31651,0.26378,0.04175,0.95581,0.88724,0.9274,0.83446,0.234,0.25015,0.02741,8.5447e-05,8.5447e-05,8.5447e-05
149,18391.5,0.32152,0.26419,0.04346,0.95566,0.88377,0.92574,0.83312,0.24251,0.24811,0.0308,8.5348e-05,8.5348e-05,8.5348e-05
150,18514.7,0.32562,0.26199,0.04518,0.95872,0.88523,0.92672,0.83187,0.24142,0.24983,0.03026,8.5249e-05,8.5249e-05,8.5249e-05
151,18636.4,0.32244,0.26371,0.04379,0.95797,0.88407,0.92667,0.83259,0.23907,0.25024,0.03067,8.515e-05,8.515e-05,8.515e-05
152,18761.6,0.32223,0.26004,0.04407,0.95473,0.88759,0.92712,0.83404,0.2378,0.25231,0.02995,8.5051e-05,8.5051e-05,8.5051e-05
153,18882.9,0.32766,0.26151,0.04681,0.95583,0.88723,0.92665,0.83402,0.23742,0.24938,0.02939,8.4952e-05,8.4952e-05,8.4952e-05
154,19007.3,0.32578,0.26179,0.04662,0.95616,0.88528,0.92609,0.83342,0.23964,0.25014,0.03015,8.4853e-05,8.4853e-05,8.4853e-05
155,19131.3,0.32197,0.26172,0.04534,0.95693,0.88481,0.9265,0.83362,0.23781,0.24935,0.02955,8.4754e-05,8.4754e-05,8.4754e-05
156,19253.1,0.32429,0.2611,0.04444,0.95586,0.88512,0.92613,0.83298,0.2385,0.24994,0.03046,8.4655e-05,8.4655e-05,8.4655e-05
157,19376.6,0.31949,0.26223,0.04476,0.95445,0.88531,0.92624,0.83442,0.2381,0.2475,0.03018,8.4556e-05,8.4556e-05,8.4556e-05
158,19498.6,0.32222,0.25985,0.04317,0.95669,0.88635,0.92625,0.83464,0.23744,0.24667,0.03017,8.4457e-05,8.4457e-05,8.4457e-05
159,19622.9,0.32771,0.26161,0.04557,0.95564,0.88876,0.92732,0.83663,0.23425,0.2464,0.03058,8.4358e-05,8.4358e-05,8.4358e-05
160,19746.3,0.31979,0.26167,0.04332,0.95599,0.88702,0.92699,0.83487,0.23549,0.25008,0.03018,8.4259e-05,8.4259e-05,8.4259e-05
161,19868.8,0.32585,0.26245,0.04436,0.95604,0.88769,0.92676,0.8338,0.23761,0.25005,0.03009,8.416e-05,8.416e-05,8.416e-05
162,19991.1,0.32388,0.26186,0.04428,0.95674,0.89111,0.92826,0.83569,0.23373,0.2492,0.02939,8.4061e-05,8.4061e-05,8.4061e-05
163,20112.9,0.31948,0.2619,0.04271,0.95686,0.8901,0.93139,0.83621,0.23258,0.24971,0.03049,8.3962e-05,8.3962e-05,8.3962e-05
164,20234.8,0.31683,0.26156,0.04096,0.95712,0.88697,0.928,0.83617,0.23441,0.24857,0.03028,8.3863e-05,8.3863e-05,8.3863e-05
165,20357.2,0.32159,0.26194,0.04398,0.95866,0.88578,0.92724,0.83525,0.23696,0.24792,0.03133,8.3764e-05,8.3764e-05,8.3764e-05
166,20478.6,0.31496,0.25937,0.04218,0.95794,0.88609,0.9268,0.8358,0.23724,0.24641,0.03197,8.3665e-05,8.3665e-05,8.3665e-05
